,No,配信日時
0,プロセカ放送局 第1回,2023-10-25 19:30:00
1,プロセカ放送局 第2回,2023-11-24 19:30:00
2,プロセカ放送局 第3回,2023-12-26 19:30:00
3,プロセカ放送局 第4回,2024-01-24 19:30:00
4,プロセカ放送局 第5回,2024-02-28 19:30:00
5,プロセカ放送局 3.5周年スペシャル,2024-03-27 19:30:00
6,プロセカ放送局 第7回,2024-04-24 19:30:00
7,プロセカ放送局 第8回,2024-05-21 19:30:00
8,プロセカ放送局 第9回,2024-06-26 19:30:00
9,プロセカ放送局 第10回,2024-07-29 19:30:00
10,プロセカ放送局 第11回,2024-08-23 19:30:00
11,プロセカ放送局 出張版 in 4th Anniversary 感謝祭,2024-09-27 19:30:00
12,プロセカ放送局 第13回,2024-10-23 19:30:00
13,プロセカ放送局 第14回,2024-11-26 19:30:00
14,プロセカ放送局 年末大特番,2024-12-26 19:00:00
15,プロセカ放送局 第16回,2025-01-21 19:30:00
16,プロセカ放送局 第17回,2025-02-26 19:30:00
17,プロセカ放送局 4.5周年スペシャル,2025-03-28 19:30:00
18,プロセカ放送局 第19回,2025-04-25 19:30:00
19,プロセカ放送局 第20回,2025-05-28 19:30:00
20,プロセカ放送局 第21回,2025-06-27 19:30:00
21,プロセカ放送局 第22回,2025-07-28 19:30:00
22,プロセカ放送局 第23回,2025-08-27 19:30:00
23,プロセカ放送局 5周年スペシャル,2025-09-24 19:30:00
24,プロセカ放送局 第25回,2025-10-22 19:30:00
25,プロセカ放送局 第26回,2025-11-25 19:30:00
